Start (s),End (s),Scientific name,Common name,Confidence,File Name,Latitude,Longitude,Elevation,Year,Month,Day,Time,Buzz
48.0,51.0,Phylloscopus humei,Hume's Warbler,0.9976,XC180338,,,,,,,,
51.0,54.0,Phylloscopus humei,Hume's Warbler,0.9869,XC180338,,,,,,,,
54.0,57.0,Phylloscopus humei,Hume's Warbler,0.9713,XC180338,,,,,,,,
57.0,60.0,Phylloscopus humei,Hume's Warbler,0.9986,XC180338,,,,,,,,
60.0,63.0,Phylloscopus humei,Hume's Warbler,0.934,XC180338,,,,,,,,
66.0,69.0,Phylloscopus humei,Hume's Warbler,0.9772,XC180338,,,,,,,,
69.0,72.0,Phylloscopus humei,Hume's Warbler,0.9134,XC180338,,,,,,,,
78.0,81.0,Phylloscopus humei,Hume's Warbler,0.9003,XC180338,,,,,,,,
90.0,93.0,Phylloscopus humei,Hume's Warbler,0.9986,XC180338,,,,,,,,
93.0,96.0,Phylloscopus humei,Hume's Warbler,0.9877,XC180338,,,,,,,,
99.0,102.0,Phylloscopus humei,Hume's Warbler,0.9549,XC180338,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9989,XC738540,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9539,XC738540,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9683,XC738540,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9756,XC738540,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9637,XC738540,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9835,XC738540,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9948,XC738540,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9859,XC738540,,,,,,,,
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.9915,XC738540,,,,,,,,
42.0,45.0,Phylloscopus humei,Hume's Warbler,0.9956,XC738540,,,,,,,,
54.0,57.0,Phylloscopus humei,Hume's Warbler,0.9945,XC738540,,,,,,,,
60.0,63.0,Phylloscopus humei,Hume's Warbler,0.9085,XC738540,,,,,,,,
63.0,66.0,Phylloscopus humei,Hume's Warbler,0.9998,XC738540,,,,,,,,
69.0,72.0,Phylloscopus humei,Hume's Warbler,0.9204,XC738540,,,,,,,,
72.0,75.0,Phylloscopus humei,Hume's Warbler,0.9795,XC738540,,,,,,,,
75.0,78.0,Phylloscopus humei,Hume's Warbler,0.9949,XC738540,,,,,,,,
78.0,81.0,Phylloscopus humei,Hume's Warbler,0.9685,XC738540,,,,,,,,
84.0,87.0,Phylloscopus humei,Hume's Warbler,0.9802,XC738540,,,,,,,,
87.0,90.0,Phylloscopus humei,Hume's Warbler,0.9856,XC738540,,,,,,,,
93.0,96.0,Phylloscopus humei,Hume's Warbler,0.9717,XC738540,,,,,,,,
102.0,105.0,Phylloscopus humei,Hume's Warbler,0.9911,XC738540,,,,,,,,
105.0,108.0,Phylloscopus humei,Hume's Warbler,0.9984,XC738540,,,,,,,,
108.0,111.0,Phylloscopus humei,Hume's Warbler,0.9943,XC738540,,,,,,,,
114.0,117.0,Phylloscopus humei,Hume's Warbler,0.9714,XC738540,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9468,XC43638,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9973,XC450986,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9611,XC450986,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9863,XC450986,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9684,XC450986,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9715,XC162534,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9755,XC162534,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9996,XC162534,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9098,XC162534,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9983,XC472914,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9985,XC472914,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9555,XC472914,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9914,XC472914,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.999,XC472914,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9921,XC472914,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.943,XC472914,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9926,XC162554,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9995,XC162554,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9859,XC162554,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9826,XC162554,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.991,XC162554,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9103,XC162554,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9856,XC162554,,,,,,,,
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.9338,XC162554,,,,,,,,
42.0,45.0,Phylloscopus humei,Hume's Warbler,0.982,XC162554,,,,,,,,
48.0,51.0,Phylloscopus humei,Hume's Warbler,0.9669,XC162554,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9528,XC770059,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9714,XC770059,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9777,XC770059,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.91,XC770059,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9607,XC414467,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9589,XC414467,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9997,XC414467,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9302,XC414467,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9943,XC414467,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9998,XC414467,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9289,XC414467,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9963,XC414467,,,,,,,,
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9984,XC414467,,,,,,,,
42.0,45.0,Phylloscopus humei,Hume's Warbler,0.9933,XC414467,,,,,,,,
48.0,51.0,Phylloscopus humei,Hume's Warbler,0.997,XC414467,,,,,,,,
51.0,54.0,Phylloscopus humei,Hume's Warbler,0.9018,XC414467,,,,,,,,
54.0,57.0,Phylloscopus humei,Hume's Warbler,0.9978,XC414467,,,,,,,,
60.0,63.0,Phylloscopus humei,Hume's Warbler,0.9863,XC414467,,,,,,,,
63.0,66.0,Phylloscopus humei,Hume's Warbler,0.9998,XC414467,,,,,,,,
66.0,69.0,Phylloscopus humei,Hume's Warbler,0.9824,XC414467,,,,,,,,
69.0,72.0,Phylloscopus humei,Hume's Warbler,0.9973,XC414467,,,,,,,,
72.0,75.0,Phylloscopus humei,Hume's Warbler,0.9973,XC414467,,,,,,,,
78.0,81.0,Phylloscopus humei,Hume's Warbler,0.9728,XC414467,,,,,,,,
81.0,84.0,Phylloscopus humei,Hume's Warbler,0.9994,XC414467,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9516,XC304209,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9259,XC304209,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9677,XC304209,,,,,,,,
69.0,72.0,Phylloscopus humei,Hume's Warbler,0.9098,XC304209,,,,,,,,
