Start (s),End (s),Scientific name,Common name,Confidence,File Name,Latitude,Longitude,Elevation,Year,Month,Day,Time,Buzz
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9961,XC298104,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9712,XC351688,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.988,XC351688,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9822,XC93471,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9981,XC150198,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9894,XC150198,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9664,XC150198,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9979,XC150198,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9065,XC150198,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9935,XC460283,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9793,XC460283,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9192,XC460283,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9723,XC460283,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9969,XC750784,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9617,XC750784,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9771,XC750784,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9589,XC750784,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.928,XC844130,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9512,XC165218,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9676,XC165218,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9771,XC165218,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9424,XC165218,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9935,XC116651,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9751,XC116651,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9746,XC116651,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9797,XC116651,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9726,XC472913,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9414,XC472913,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9969,XC698043,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9899,XC698043,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9209,XC698043,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9878,XC698043,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9881,XC491425,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9919,XC491425,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9411,XC491425,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9857,XC491425,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9628,XC491425,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9766,XC491425,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.969,XC73381,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9693,XC73382,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.958,XC782339,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9215,XC782339,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9638,XC782339,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9413,XC782339,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9048,XC786080,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9248,XC786080,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9368,XC786080,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9935,XC949804,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9969,XC949804,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9931,XC949804,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9941,XC949804,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9841,XC949804,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9641,XC772385,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9464,XC772385,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9216,XC772385,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9956,XC945940,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9925,XC945940,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9867,XC945940,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9915,XC945940,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9691,XC945940,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9983,XC945940,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9851,XC945940,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9973,XC150181,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9991,XC150181,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9992,XC150181,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.996,XC150181,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9989,XC150181,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9981,XC150181,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9993,XC150181,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9976,XC128095,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9914,XC128095,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9251,XC128095,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9935,XC128095,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9891,XC128095,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9818,XC128095,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9889,XC128095,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9898,XC128095,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9985,XC738539,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9911,XC738539,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9917,XC738539,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9975,XC738539,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9977,XC738539,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9574,XC738539,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9876,XC738539,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9903,XC738539,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9968,XC749558,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9982,XC749558,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9804,XC749558,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9796,XC749558,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9916,XC749558,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9458,XC749558,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9969,XC749558,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9986,XC749558,,,,,,,,
