Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time
0.0,3.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5554,psh9,2024,06,07,05
12.0,15.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5112,psh9,2024,06,07,05
21.0,24.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5029,psh9,2024,06,07,05
42.0,45.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.57,psh9,2024,06,07,05
57.0,60.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.887,psh9,2024,06,07,05
87.0,90.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5731,psh9,2024,06,07,05
90.0,93.0,Phylloscopus trochiloides,Greenish Warbler,0.5252,psh9,2024,06,07,05
96.0,99.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.724,psh9,2024,06,07,05
117.0,120.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.9673,psh9,2024,06,07,05
132.0,135.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.906,psh9,2024,06,07,05
138.0,141.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.6518,psh9,2024,06,07,05
144.0,147.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.7112,psh9,2024,06,07,05
168.0,171.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.7342,psh9,2024,06,07,05
171.0,174.0,Emberiza cirlus,Cirl Bunting,0.5124,psh9,2024,06,07,05
177.0,180.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.7701,psh9,2024,06,07,05
204.0,207.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.6523,psh9,2024,06,07,05
228.0,231.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.9023,psh9,2024,06,07,05
237.0,240.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5131,psh9,2024,06,07,05
240.0,243.0,Setophaga townsendi,Townsend's Warbler,0.6766,psh9,2024,06,07,05
246.0,249.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.7076,psh9,2024,06,07,05
252.0,255.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.7381,psh9,2024,06,07,05
276.0,279.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.6981,psh9,2024,06,07,05
351.0,354.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.7813,psh9,2024,06,07,05
417.0,420.0,Lophophorus impejanus,Himalayan Monal,0.785,psh9,2024,06,07,05
423.0,426.0,Lophophorus impejanus,Himalayan Monal,0.8369,psh9,2024,06,07,05
426.0,429.0,Lophophorus impejanus,Himalayan Monal,0.9706,psh9,2024,06,07,05
429.0,432.0,Lophophorus impejanus,Himalayan Monal,0.5271,psh9,2024,06,07,05
438.0,441.0,Lophophorus impejanus,Himalayan Monal,0.9374,psh9,2024,06,07,05
447.0,450.0,Lophophorus impejanus,Himalayan Monal,0.6555,psh9,2024,06,07,05
450.0,453.0,Lophophorus impejanus,Himalayan Monal,0.6895,psh9,2024,06,07,05
459.0,462.0,Lophophorus impejanus,Himalayan Monal,0.7402,psh9,2024,06,07,05
501.0,504.0,Phylloscopus trochiloides,Greenish Warbler,0.5184,psh9,2024,06,07,05
522.0,525.0,Phylloscopus trochiloides,Greenish Warbler,0.7615,psh9,2024,06,07,05
549.0,552.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.6459,psh9,2024,06,07,05
768.0,771.0,Anthus hodgsoni,Olive-backed Pipit,0.9367,psh9,2024,06,07,05
774.0,777.0,Anthus hodgsoni,Olive-backed Pipit,0.7567,psh9,2024,06,07,05
777.0,780.0,Phylloscopus trochiloides,Greenish Warbler,0.569,psh9,2024,06,07,05
780.0,783.0,Anthus hodgsoni,Olive-backed Pipit,0.9253,psh9,2024,06,07,05
801.0,804.0,Anthus hodgsoni,Olive-backed Pipit,0.5982,psh9,2024,06,07,05
807.0,810.0,Anthus hodgsoni,Olive-backed Pipit,0.7097,psh9,2024,06,07,05
825.0,828.0,Setophaga nigrescens,Black-throated Gray Warbler,0.536,psh9,2024,06,07,05
843.0,846.0,Anthus hodgsoni,Olive-backed Pipit,0.5536,psh9,2024,06,07,05
861.0,864.0,Anthus hodgsoni,Olive-backed Pipit,0.677,psh9,2024,06,07,05
876.0,879.0,Anthus hodgsoni,Olive-backed Pipit,0.7567,psh9,2024,06,07,05
879.0,882.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.8683,psh9,2024,06,07,05
885.0,888.0,Anthus hodgsoni,Olive-backed Pipit,0.84,psh9,2024,06,07,05
18.0,21.0,Carpodacus erythrinus,Common Rosefinch,0.8911,psh9,2024,06,07,06
24.0,27.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.6365,psh9,2024,06,07,06
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.5376,psh9,2024,06,07,06
63.0,66.0,Carpodacus erythrinus,Common Rosefinch,0.557,psh9,2024,06,07,06
78.0,81.0,Phylloscopus humei,Hume's Warbler,0.656,psh9,2024,06,07,06
81.0,84.0,Carpodacus erythrinus,Common Rosefinch,0.5874,psh9,2024,06,07,06
96.0,99.0,Carpodacus erythrinus,Common Rosefinch,0.7054,psh9,2024,06,07,06
138.0,141.0,Phylloscopus humei,Hume's Warbler,0.8436,psh9,2024,06,07,06
144.0,147.0,Phylloscopus humei,Hume's Warbler,0.8862,psh9,2024,06,07,06
159.0,162.0,Phylloscopus humei,Hume's Warbler,0.5129,psh9,2024,06,07,06
186.0,189.0,Carpodacus erythrinus,Common Rosefinch,0.5251,psh9,2024,06,07,06
189.0,192.0,Carpodacus erythrinus,Common Rosefinch,0.8612,psh9,2024,06,07,06
192.0,195.0,Carpodacus erythrinus,Common Rosefinch,0.8352,psh9,2024,06,07,06
195.0,198.0,Carpodacus erythrinus,Common Rosefinch,0.7074,psh9,2024,06,07,06
231.0,234.0,Carpodacus erythrinus,Common Rosefinch,0.6611,psh9,2024,06,07,06
252.0,255.0,Carpodacus erythrinus,Common Rosefinch,0.5959,psh9,2024,06,07,06
255.0,258.0,Carpodacus erythrinus,Common Rosefinch,0.8037,psh9,2024,06,07,06
258.0,261.0,Carpodacus erythrinus,Common Rosefinch,0.9003,psh9,2024,06,07,06
