Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5554,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
12.0,15.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5112,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
21.0,24.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5029,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
42.0,45.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5700,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
57.0,60.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.8870,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
87.0,90.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.5731,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
90.0,93.0,Phylloscopus trochiloides,Greenish Warbler,0.5252,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
96.0,99.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.7240,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
117.0,120.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.9673,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
132.0,135.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.9060,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH9\20240607_050000.WAV
