Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Phylloscopus humei,Hume's Warbler,0.6411,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.8799,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.5355,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.5084,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.8052,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.8985,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
54.0,57.0,Phylloscopus humei,Hume's Warbler,0.7435,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
60.0,63.0,Phylloscopus humei,Hume's Warbler,0.8016,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
69.0,72.0,Phylloscopus humei,Hume's Warbler,0.8453,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
75.0,78.0,Phylloscopus humei,Hume's Warbler,0.9367,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
87.0,90.0,Phylloscopus humei,Hume's Warbler,0.7648,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
93.0,96.0,Phylloscopus humei,Hume's Warbler,0.8793,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
99.0,102.0,Phylloscopus humei,Hume's Warbler,0.7493,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
108.0,111.0,Phylloscopus humei,Hume's Warbler,0.6158,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
123.0,126.0,Phylloscopus humei,Hume's Warbler,0.7587,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
129.0,132.0,Phylloscopus humei,Hume's Warbler,0.7279,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
135.0,138.0,Phylloscopus humei,Hume's Warbler,0.9403,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
141.0,144.0,Phylloscopus nitidus,Green Warbler,0.8614,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
141.0,144.0,Phylloscopus trochiloides,Greenish Warbler,0.5751,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
147.0,150.0,Phylloscopus humei,Hume's Warbler,0.6851,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
153.0,156.0,Phylloscopus humei,Hume's Warbler,0.8870,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
159.0,162.0,Phylloscopus humei,Hume's Warbler,0.9335,/Users/vanessaprema/Downloads/PSH10/20240604_060000.WAV
