Start (s),End (s),Scientific name,Common name,Confidence,File
108.0,111.0,Phylloscopus trochiloides,Greenish Warbler,0.6248,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
117.0,120.0,Phylloscopus trochiloides,Greenish Warbler,0.5020,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
198.0,201.0,Tarsiger rufilatus,Himalayan Bluetail,0.8343,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
204.0,207.0,Tarsiger rufilatus,Himalayan Bluetail,0.6254,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
210.0,213.0,Tarsiger rufilatus,Himalayan Bluetail,0.6396,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
213.0,216.0,Tarsiger rufilatus,Himalayan Bluetail,0.9353,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
222.0,225.0,Tarsiger rufilatus,Himalayan Bluetail,0.6009,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
234.0,237.0,Tarsiger rufilatus,Himalayan Bluetail,0.9551,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
240.0,243.0,Tarsiger rufilatus,Himalayan Bluetail,0.6986,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
348.0,351.0,Brachyramphus marmoratus,Marbled Murrelet,0.5819,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
402.0,405.0,Brachyramphus marmoratus,Marbled Murrelet,0.6722,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
585.0,588.0,Phylloscopus humei,Hume's Warbler,0.7190,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
597.0,600.0,Tarsiger rufilatus,Himalayan Bluetail,0.6677,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
612.0,615.0,Phylloscopus humei,Hume's Warbler,0.5289,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
633.0,636.0,Tarsiger rufilatus,Himalayan Bluetail,0.6149,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
639.0,642.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5222,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
648.0,651.0,Tarsiger rufilatus,Himalayan Bluetail,0.5043,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
672.0,675.0,Tarsiger rufilatus,Himalayan Bluetail,0.7643,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
675.0,678.0,Tarsiger rufilatus,Himalayan Bluetail,0.5026,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
684.0,687.0,Phylloscopus nitidus,Green Warbler,0.5162,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
699.0,702.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8648,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH1\20240603_050000.WAV
