Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time
66.0,69.0,Periparus ater,Coal Tit,0.5536,psl3,2024,05,10,09
108.0,111.0,Periparus ater,Coal Tit,0.5699,psl3,2024,05,10,09
216.0,219.0,Phylloscopus humei,Hume's Warbler,0.6826,psl3,2024,05,10,09
219.0,222.0,Phylloscopus humei,Hume's Warbler,0.7507,psl3,2024,05,10,09
222.0,225.0,Phylloscopus humei,Hume's Warbler,0.8356,psl3,2024,05,10,09
225.0,228.0,Phylloscopus humei,Hume's Warbler,0.9574,psl3,2024,05,10,09
228.0,231.0,Conirostrum binghami,Giant Conebill,0.6692,psl3,2024,05,10,09
228.0,231.0,Phylloscopus humei,Hume's Warbler,0.6339,psl3,2024,05,10,09
234.0,237.0,Phylloscopus humei,Hume's Warbler,0.5558,psl3,2024,05,10,09
264.0,267.0,Phylloscopus humei,Hume's Warbler,0.9674,psl3,2024,05,10,09
270.0,273.0,Phylloscopus humei,Hume's Warbler,0.9147,psl3,2024,05,10,09
273.0,276.0,Phylloscopus humei,Hume's Warbler,0.8003,psl3,2024,05,10,09
276.0,279.0,Phylloscopus humei,Hume's Warbler,0.6391,psl3,2024,05,10,09
309.0,312.0,Phylloscopus humei,Hume's Warbler,0.5134,psl3,2024,05,10,09
351.0,354.0,Phylloscopus humei,Hume's Warbler,0.7886,psl3,2024,05,10,09
417.0,420.0,Phylloscopus humei,Hume's Warbler,0.769,psl3,2024,05,10,09
444.0,447.0,Phylloscopus humei,Hume's Warbler,0.7907,psl3,2024,05,10,09
447.0,450.0,Phylloscopus humei,Hume's Warbler,0.834,psl3,2024,05,10,09
450.0,453.0,Phylloscopus humei,Hume's Warbler,0.8413,psl3,2024,05,10,09
456.0,459.0,Phylloscopus humei,Hume's Warbler,0.9111,psl3,2024,05,10,09
459.0,462.0,Phylloscopus humei,Hume's Warbler,0.874,psl3,2024,05,10,09
462.0,465.0,Phylloscopus humei,Hume's Warbler,0.8168,psl3,2024,05,10,09
468.0,471.0,Phylloscopus humei,Hume's Warbler,0.8123,psl3,2024,05,10,09
471.0,474.0,Phylloscopus humei,Hume's Warbler,0.6793,psl3,2024,05,10,09
474.0,477.0,Phylloscopus humei,Hume's Warbler,0.9183,psl3,2024,05,10,09
477.0,480.0,Phylloscopus humei,Hume's Warbler,0.6328,psl3,2024,05,10,09
480.0,483.0,Phylloscopus humei,Hume's Warbler,0.583,psl3,2024,05,10,09
486.0,489.0,Phylloscopus humei,Hume's Warbler,0.8458,psl3,2024,05,10,09
498.0,501.0,Phylloscopus humei,Hume's Warbler,0.5295,psl3,2024,05,10,09
570.0,573.0,Turdus iliacus,Redwing,0.5791,psl3,2024,05,10,09
609.0,612.0,Conirostrum binghami,Giant Conebill,0.543,psl3,2024,05,10,09
12.0,15.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6725,psl3,2024,05,11,06
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.7275,psl3,2024,05,11,06
312.0,315.0,Periparus ater,Coal Tit,0.5671,psl3,2024,05,11,06
360.0,363.0,Periparus ater,Coal Tit,0.6466,psl3,2024,05,11,06
366.0,369.0,Periparus ater,Coal Tit,0.5168,psl3,2024,05,11,06
378.0,381.0,Periparus ater,Coal Tit,0.5437,psl3,2024,05,11,06
384.0,387.0,Periparus ater,Coal Tit,0.8568,psl3,2024,05,11,06
423.0,426.0,Periparus ater,Coal Tit,0.7435,psl3,2024,05,11,06
426.0,429.0,Periparus ater,Coal Tit,0.5305,psl3,2024,05,11,06
429.0,432.0,Periparus ater,Coal Tit,0.5718,psl3,2024,05,11,06
432.0,435.0,Periparus ater,Coal Tit,0.71,psl3,2024,05,11,06
447.0,450.0,Periparus ater,Coal Tit,0.5237,psl3,2024,05,11,06
453.0,456.0,Periparus ater,Coal Tit,0.6925,psl3,2024,05,11,06
744.0,747.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5391,psl3,2024,05,11,06
747.0,750.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7091,psl3,2024,05,11,06
759.0,762.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7029,psl3,2024,05,11,06
768.0,771.0,Phylloscopus occipitalis,Western Crowned Warbler,0.8223,psl3,2024,05,11,06
807.0,810.0,Phylloscopus occipitalis,Western Crowned Warbler,0.9134,psl3,2024,05,11,06
837.0,840.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5324,psl3,2024,05,11,06
861.0,864.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5132,psl3,2024,05,11,06
306.0,309.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6891,psl3,2024,05,11,07
339.0,342.0,Phylloscopus occipitalis,Western Crowned Warbler,0.8953,psl3,2024,05,11,07
375.0,378.0,Phylloscopus occipitalis,Western Crowned Warbler,0.691,psl3,2024,05,11,07
411.0,414.0,Anthus hodgsoni,Olive-backed Pipit,0.6586,psl3,2024,05,11,07
456.0,459.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6902,psl3,2024,05,11,07
465.0,468.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5416,psl3,2024,05,11,07
489.0,492.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7175,psl3,2024,05,11,07
495.0,498.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7409,psl3,2024,05,11,07
