Start (s),End (s),Scientific name,Common name,Confidence,File
45.0,48.0,Phylloscopus humei,Hume's Warbler,0.5312,/Users/vanessaprema/Downloads/LOW/PSL8/20240519_090715.WAV
54.0,57.0,Phylloscopus humei,Hume's Warbler,0.6072,/Users/vanessaprema/Downloads/LOW/PSL8/20240519_090715.WAV
21.0,24.0,Carpodacus erythrinus,Common Rosefinch,0.7439,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
51.0,54.0,Carpodacus erythrinus,Common Rosefinch,0.5550,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
57.0,60.0,Carpodacus erythrinus,Common Rosefinch,0.5541,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
75.0,78.0,Carpodacus erythrinus,Common Rosefinch,0.8474,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
87.0,90.0,Carpodacus erythrinus,Common Rosefinch,0.8305,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
105.0,108.0,Carpodacus erythrinus,Common Rosefinch,0.7923,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
114.0,117.0,Carpodacus erythrinus,Common Rosefinch,0.5023,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
138.0,141.0,Phylloscopus nitidus,Green Warbler,0.8867,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
180.0,183.0,Phylloscopus nitidus,Green Warbler,0.5262,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
186.0,189.0,Phylloscopus trochiloides,Greenish Warbler,0.5542,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
195.0,198.0,Phylloscopus trochiloides,Greenish Warbler,0.6284,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
204.0,207.0,Carpodacus erythrinus,Common Rosefinch,0.8506,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
243.0,246.0,Carpodacus erythrinus,Common Rosefinch,0.5392,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
270.0,273.0,Carpodacus erythrinus,Common Rosefinch,0.5953,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
294.0,297.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6157,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
300.0,303.0,Phylloscopus nitidus,Green Warbler,0.7452,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
306.0,309.0,Phylloscopus nitidus,Green Warbler,0.7921,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
309.0,312.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7117,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
312.0,315.0,Carpodacus erythrinus,Common Rosefinch,0.7365,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
315.0,318.0,Carpodacus erythrinus,Common Rosefinch,0.6786,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
327.0,330.0,Carpodacus erythrinus,Common Rosefinch,0.8223,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
333.0,336.0,Phylloscopus nitidus,Green Warbler,0.5047,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
414.0,417.0,Phylloscopus nitidus,Green Warbler,0.5542,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
417.0,420.0,Carpodacus erythrinus,Common Rosefinch,0.7289,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
426.0,429.0,Carpodacus erythrinus,Common Rosefinch,0.6358,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
465.0,468.0,Phylloscopus trochiloides,Greenish Warbler,0.5117,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
504.0,507.0,Phylloscopus nitidus,Green Warbler,0.5316,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
531.0,534.0,Prunella strophiata,Rufous-breasted Accentor,0.6568,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
543.0,546.0,Phylloscopus trochiloides,Greenish Warbler,0.5098,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
546.0,549.0,Phylloscopus trochiloides,Greenish Warbler,0.7048,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
546.0,549.0,Phylloscopus nitidus,Green Warbler,0.5441,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
564.0,567.0,Carpodacus erythrinus,Common Rosefinch,0.6318,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
567.0,570.0,Phylloscopus nitidus,Green Warbler,0.5318,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
600.0,603.0,Phylloscopus nitidus,Green Warbler,0.6243,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
612.0,615.0,Leiothlypis ruficapilla,Nashville Warbler,0.6800,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
675.0,678.0,Carpodacus erythrinus,Common Rosefinch,0.7084,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
687.0,690.0,Carpodacus erythrinus,Common Rosefinch,0.7100,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
711.0,714.0,Carpodacus erythrinus,Common Rosefinch,0.5793,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
720.0,723.0,Carpodacus erythrinus,Common Rosefinch,0.5794,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
726.0,729.0,Carpodacus erythrinus,Common Rosefinch,0.6661,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
735.0,738.0,Carpodacus erythrinus,Common Rosefinch,0.6900,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
744.0,747.0,Carpodacus erythrinus,Common Rosefinch,0.7029,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
747.0,750.0,Carpodacus erythrinus,Common Rosefinch,0.5274,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
753.0,756.0,Carpodacus erythrinus,Common Rosefinch,0.7151,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
768.0,771.0,Carpodacus erythrinus,Common Rosefinch,0.5046,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
831.0,834.0,Carpodacus erythrinus,Common Rosefinch,0.6960,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
846.0,849.0,Carpodacus erythrinus,Common Rosefinch,0.5519,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
867.0,870.0,Luscinia phaenicuroides,White-bellied Redstart,0.7326,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_060000.WAV
12.0,15.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6368,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
21.0,24.0,Phylloscopus trochiloides,Greenish Warbler,0.7665,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
27.0,30.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5023,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
60.0,63.0,Protonotaria citrea,Prothonotary Warbler,0.8715,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
66.0,69.0,Larvivora brunnea,Indian Blue Robin,0.7143,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
96.0,99.0,Phylloscopus trochiloides,Greenish Warbler,0.6346,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
105.0,108.0,Phylloscopus nitidus,Green Warbler,0.5567,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
126.0,129.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5568,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
150.0,153.0,Phylloscopus nitidus,Green Warbler,0.7767,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
153.0,156.0,Phylloscopus nitidus,Green Warbler,0.6613,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
162.0,165.0,Phylloscopus nitidus,Green Warbler,0.9251,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
165.0,168.0,Phylloscopus nitidus,Green Warbler,0.9585,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
216.0,219.0,Phylloscopus nitidus,Green Warbler,0.6733,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
225.0,228.0,Phylloscopus nitidus,Green Warbler,0.7632,/Users/vanessaprema/Downloads/LOW/PSL8/20240520_070000.WAV
