Start (s),End (s),Scientific name,Common name,Confidence,File
282.0,285.0,Lithobates clamitans,Green Frog,0.5609,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_040000.WAV
0,3.0,Prunella strophiata,Rufous-breasted Accentor,0.6238,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
6.0,9.0,Ficedula parva,Red-breasted Flycatcher,0.7758,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
6.0,9.0,Prunella strophiata,Rufous-breasted Accentor,0.7068,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
12.0,15.0,Prunella strophiata,Rufous-breasted Accentor,0.6522,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
15.0,18.0,Prunella strophiata,Rufous-breasted Accentor,0.9079,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
21.0,24.0,Prunella strophiata,Rufous-breasted Accentor,0.8161,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
24.0,27.0,Prunella strophiata,Rufous-breasted Accentor,0.9696,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
27.0,30.0,Prunella strophiata,Rufous-breasted Accentor,0.9723,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
33.0,36.0,Prunella strophiata,Rufous-breasted Accentor,0.8848,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
36.0,39.0,Prunella strophiata,Rufous-breasted Accentor,0.9514,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
39.0,42.0,Prunella strophiata,Rufous-breasted Accentor,0.6720,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
180.0,183.0,Ficedula parva,Red-breasted Flycatcher,0.7814,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
180.0,183.0,Lithobates catesbeianus,American Bullfrog,0.6592,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
267.0,270.0,Prunella strophiata,Rufous-breasted Accentor,0.9740,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
270.0,273.0,Prunella strophiata,Rufous-breasted Accentor,0.9089,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
270.0,273.0,Ficedula parva,Red-breasted Flycatcher,0.6281,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
273.0,276.0,Prunella strophiata,Rufous-breasted Accentor,0.9074,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
276.0,279.0,Prunella strophiata,Rufous-breasted Accentor,0.5880,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
279.0,282.0,Prunella strophiata,Rufous-breasted Accentor,0.9753,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
285.0,288.0,Ficedula parva,Red-breasted Flycatcher,0.5314,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
288.0,291.0,Prunella strophiata,Rufous-breasted Accentor,0.6099,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
291.0,294.0,Prunella strophiata,Rufous-breasted Accentor,0.8609,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
294.0,297.0,Prunella strophiata,Rufous-breasted Accentor,0.6015,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
297.0,300.0,Prunella strophiata,Rufous-breasted Accentor,0.6680,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
303.0,306.0,Ficedula parva,Red-breasted Flycatcher,0.9539,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
315.0,318.0,Ficedula parva,Red-breasted Flycatcher,0.9733,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
327.0,330.0,Ficedula parva,Red-breasted Flycatcher,0.8767,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
330.0,333.0,Ficedula parva,Red-breasted Flycatcher,0.8667,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
336.0,339.0,Ficedula parva,Red-breasted Flycatcher,0.5454,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
336.0,339.0,Prunella strophiata,Rufous-breasted Accentor,0.5415,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
339.0,342.0,Prunella strophiata,Rufous-breasted Accentor,0.7602,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
345.0,348.0,Prunella strophiata,Rufous-breasted Accentor,0.6259,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
345.0,348.0,Ficedula parva,Red-breasted Flycatcher,0.5148,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
351.0,354.0,Prunella strophiata,Rufous-breasted Accentor,0.7516,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
351.0,354.0,Ficedula parva,Red-breasted Flycatcher,0.7093,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
354.0,357.0,Ficedula parva,Red-breasted Flycatcher,0.5302,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
360.0,363.0,Ficedula parva,Red-breasted Flycatcher,0.6362,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
393.0,396.0,Tarsiger rufilatus,Himalayan Bluetail,0.8051,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
405.0,408.0,Prunella strophiata,Rufous-breasted Accentor,0.9520,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
408.0,411.0,Tarsiger rufilatus,Himalayan Bluetail,0.7182,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
420.0,423.0,Ficedula parva,Red-breasted Flycatcher,0.8572,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
429.0,432.0,Ficedula parva,Red-breasted Flycatcher,0.9276,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
429.0,432.0,Tarsiger rufilatus,Himalayan Bluetail,0.7601,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
435.0,438.0,Ficedula parva,Red-breasted Flycatcher,0.9720,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
459.0,462.0,Tarsiger rufilatus,Himalayan Bluetail,0.5628,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
468.0,471.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5718,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
477.0,480.0,Ficedula parva,Red-breasted Flycatcher,0.5200,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
483.0,486.0,Ficedula parva,Red-breasted Flycatcher,0.8443,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
486.0,489.0,Ficedula parva,Red-breasted Flycatcher,0.5167,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
513.0,516.0,Ficedula parva,Red-breasted Flycatcher,0.8137,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
516.0,519.0,Ficedula parva,Red-breasted Flycatcher,0.5349,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
519.0,522.0,Ficedula parva,Red-breasted Flycatcher,0.5208,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
525.0,528.0,Prunella strophiata,Rufous-breasted Accentor,0.6233,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
534.0,537.0,Ficedula parva,Red-breasted Flycatcher,0.6463,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Mid/PSM1\20240526_050000.WAV
