Start (s),End (s),Scientific name,Common name,Confidence,File
18.0,21.0,Tarsiger rufilatus,Himalayan Bluetail,0.6970,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
24.0,27.0,Tarsiger rufilatus,Himalayan Bluetail,0.9986,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
30.0,33.0,Tarsiger rufilatus,Himalayan Bluetail,0.7141,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
33.0,36.0,Calliope pectardens,Firethroat,0.5732,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
42.0,45.0,Tarsiger rufilatus,Himalayan Bluetail,0.7768,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
42.0,45.0,Calliope pectardens,Firethroat,0.5224,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
54.0,57.0,Tarsiger rufilatus,Himalayan Bluetail,0.5848,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
57.0,60.0,Phylloscopus sindianus,Mountain Chiffchaff,0.6195,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
72.0,75.0,Tarsiger rufilatus,Himalayan Bluetail,0.8606,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
81.0,84.0,Tarsiger rufilatus,Himalayan Bluetail,0.7496,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
87.0,90.0,Tarsiger rufilatus,Himalayan Bluetail,0.6258,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
93.0,96.0,Tarsiger rufilatus,Himalayan Bluetail,0.9393,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
96.0,99.0,Sialia sialis,Eastern Bluebird,0.5319,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
99.0,102.0,Tarsiger rufilatus,Himalayan Bluetail,0.7221,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
102.0,105.0,Tarsiger rufilatus,Himalayan Bluetail,0.5074,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
114.0,117.0,Tarsiger rufilatus,Himalayan Bluetail,0.9620,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
114.0,117.0,Calliope pectardens,Firethroat,0.6194,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
126.0,129.0,Tarsiger rufilatus,Himalayan Bluetail,0.6448,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
147.0,150.0,Tarsiger rufilatus,Himalayan Bluetail,0.6265,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
150.0,153.0,Sayornis saya,Say's Phoebe,0.7725,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
156.0,159.0,Tarsiger rufilatus,Himalayan Bluetail,0.9264,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
180.0,183.0,Tarsiger rufilatus,Himalayan Bluetail,0.6837,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
201.0,204.0,Tarsiger rufilatus,Himalayan Bluetail,0.5723,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
222.0,225.0,Tarsiger rufilatus,Himalayan Bluetail,0.7579,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
231.0,234.0,Empidonax alnorum,Alder Flycatcher,0.7024,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
246.0,249.0,Tarsiger rufilatus,Himalayan Bluetail,0.7720,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH3\20240603_050000.WAV
