Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time
399.0,402.0,Lithobates clamitans,Green Frog,0.6321,psm6,2024,05,26,04
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.7374,psm6,2024,05,26,05
63.0,66.0,Phylloscopus humei,Hume's Warbler,0.8817,psm6,2024,05,26,05
66.0,69.0,Phylloscopus humei,Hume's Warbler,0.7922,psm6,2024,05,26,05
78.0,81.0,Phylloscopus humei,Hume's Warbler,0.6958,psm6,2024,05,26,05
81.0,84.0,Phylloscopus humei,Hume's Warbler,0.9918,psm6,2024,05,26,05
93.0,96.0,Phylloscopus humei,Hume's Warbler,0.6006,psm6,2024,05,26,05
105.0,108.0,Phylloscopus humei,Hume's Warbler,0.9624,psm6,2024,05,26,05
108.0,111.0,Phylloscopus trochiloides,Greenish Warbler,0.5832,psm6,2024,05,26,05
108.0,111.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.5396,psm6,2024,05,26,05
120.0,123.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.5305,psm6,2024,05,26,05
138.0,141.0,Phylloscopus humei,Hume's Warbler,0.9599,psm6,2024,05,26,05
168.0,171.0,Phylloscopus humei,Hume's Warbler,0.5748,psm6,2024,05,26,05
216.0,219.0,Phylloscopus humei,Hume's Warbler,0.5688,psm6,2024,05,26,05
219.0,222.0,Phylloscopus humei,Hume's Warbler,0.8562,psm6,2024,05,26,05
231.0,234.0,Phylloscopus humei,Hume's Warbler,0.6618,psm6,2024,05,26,05
255.0,258.0,Phylloscopus humei,Hume's Warbler,0.9605,psm6,2024,05,26,05
258.0,261.0,Phylloscopus humei,Hume's Warbler,0.545,psm6,2024,05,26,05
267.0,270.0,Phylloscopus humei,Hume's Warbler,0.7162,psm6,2024,05,26,05
282.0,285.0,Phylloscopus humei,Hume's Warbler,0.7626,psm6,2024,05,26,05
333.0,336.0,Phylloscopus humei,Hume's Warbler,0.6334,psm6,2024,05,26,05
339.0,342.0,Phylloscopus humei,Hume's Warbler,0.9028,psm6,2024,05,26,05
345.0,348.0,Phylloscopus humei,Hume's Warbler,0.7893,psm6,2024,05,26,05
348.0,351.0,Phylloscopus humei,Hume's Warbler,0.9926,psm6,2024,05,26,05
357.0,360.0,Phylloscopus humei,Hume's Warbler,0.8708,psm6,2024,05,26,05
372.0,375.0,Phylloscopus humei,Hume's Warbler,0.9832,psm6,2024,05,26,05
378.0,381.0,Phylloscopus humei,Hume's Warbler,0.7739,psm6,2024,05,26,05
384.0,387.0,Carpodacus erythrinus,Common Rosefinch,0.5239,psm6,2024,05,26,05
387.0,390.0,Phylloscopus humei,Hume's Warbler,0.9896,psm6,2024,05,26,05
399.0,402.0,Carpodacus erythrinus,Common Rosefinch,0.6351,psm6,2024,05,26,05
405.0,408.0,Phylloscopus humei,Hume's Warbler,0.8321,psm6,2024,05,26,05
414.0,417.0,Phylloscopus humei,Hume's Warbler,0.9998,psm6,2024,05,26,05
429.0,432.0,Phylloscopus humei,Hume's Warbler,0.8881,psm6,2024,05,26,05
435.0,438.0,Phylloscopus humei,Hume's Warbler,0.5341,psm6,2024,05,26,05
438.0,441.0,Phylloscopus humei,Hume's Warbler,0.9843,psm6,2024,05,26,05
444.0,447.0,Phylloscopus humei,Hume's Warbler,0.6809,psm6,2024,05,26,05
453.0,456.0,Phylloscopus humei,Hume's Warbler,0.9994,psm6,2024,05,26,05
462.0,465.0,Phylloscopus humei,Hume's Warbler,0.9597,psm6,2024,05,26,05
465.0,468.0,Phylloscopus nitidus,Green Warbler,0.6769,psm6,2024,05,26,05
471.0,474.0,Phylloscopus humei,Hume's Warbler,0.5517,psm6,2024,05,26,05
477.0,480.0,Phylloscopus humei,Hume's Warbler,0.9982,psm6,2024,05,26,05
486.0,489.0,Phylloscopus humei,Hume's Warbler,0.8916,psm6,2024,05,26,05
492.0,495.0,Phylloscopus humei,Hume's Warbler,0.9917,psm6,2024,05,26,05
498.0,501.0,Phylloscopus humei,Hume's Warbler,0.9645,psm6,2024,05,26,05
501.0,504.0,Phylloscopus humei,Hume's Warbler,0.9864,psm6,2024,05,26,05
507.0,510.0,Phylloscopus humei,Hume's Warbler,0.829,psm6,2024,05,26,05
516.0,519.0,Phylloscopus humei,Hume's Warbler,0.89,psm6,2024,05,26,05
522.0,525.0,Phylloscopus humei,Hume's Warbler,0.6322,psm6,2024,05,26,05
537.0,540.0,Phylloscopus humei,Hume's Warbler,0.9786,psm6,2024,05,26,05
546.0,549.0,Phylloscopus humei,Hume's Warbler,0.6949,psm6,2024,05,26,05
555.0,558.0,Phylloscopus humei,Hume's Warbler,0.9281,psm6,2024,05,26,05
576.0,579.0,Phylloscopus nitidus,Green Warbler,0.7208,psm6,2024,05,26,05
579.0,582.0,Phylloscopus nitidus,Green Warbler,0.9429,psm6,2024,05,26,05
594.0,597.0,Phylloscopus humei,Hume's Warbler,0.9887,psm6,2024,05,26,05
600.0,603.0,Phylloscopus trochiloides,Greenish Warbler,0.5335,psm6,2024,05,26,05
612.0,615.0,Phylloscopus humei,Hume's Warbler,0.7526,psm6,2024,05,26,05
618.0,621.0,Phylloscopus nitidus,Green Warbler,0.5691,psm6,2024,05,26,05
645.0,648.0,Phylloscopus humei,Hume's Warbler,0.5597,psm6,2024,05,26,05
711.0,714.0,Phylloscopus trochiloides,Greenish Warbler,0.569,psm6,2024,05,26,05
732.0,735.0,Phylloscopus humei,Hume's Warbler,0.5229,psm6,2024,05,26,05
762.0,765.0,Phylloscopus nitidus,Green Warbler,0.6107,psm6,2024,05,26,05
774.0,777.0,Phylloscopus humei,Hume's Warbler,0.9583,psm6,2024,05,26,05
780.0,783.0,Phylloscopus trochiloides,Greenish Warbler,0.5208,psm6,2024,05,26,05
783.0,786.0,Phylloscopus humei,Hume's Warbler,0.8333,psm6,2024,05,26,05
789.0,792.0,Phylloscopus nitidus,Green Warbler,0.6582,psm6,2024,05,26,05
