Start (s),End (s),Scientific name,Common name,Confidence,File
114.0,117.0,Gallinula chloropus,Eurasian Moorhen,0.8068,/Users/vanessaprema/Downloads/PSH2/20240603_040000.WAV
150.0,153.0,Gallinula chloropus,Eurasian Moorhen,0.5414,/Users/vanessaprema/Downloads/PSH2/20240603_040000.WAV
0,3.0,Acanthis flammea,Common Redpoll,0.5173,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
57.0,60.0,Turdus viscivorus,Mistle Thrush,0.5427,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
72.0,75.0,Turdus viscivorus,Mistle Thrush,0.6004,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
210.0,213.0,Serinus pusillus,Fire-fronted Serin,0.5303,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
297.0,300.0,Prunella strophiata,Rufous-breasted Accentor,0.5809,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
297.0,300.0,Turdus viscivorus,Mistle Thrush,0.5720,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
342.0,345.0,Turdus viscivorus,Mistle Thrush,0.8242,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
369.0,372.0,Troglodytes pacificus,Pacific Wren,0.6450,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
393.0,396.0,Troglodytes troglodytes,Eurasian Wren,0.7749,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
393.0,396.0,Troglodytes pacificus,Pacific Wren,0.7164,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
459.0,462.0,Pluvialis squatarola,Black-bellied Plover,0.6898,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
489.0,492.0,Turdus viscivorus,Mistle Thrush,0.6834,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
498.0,501.0,Pluvialis squatarola,Black-bellied Plover,0.5971,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
510.0,513.0,Tringa totanus,Common Redshank,0.5251,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
531.0,534.0,Buteo buteo,Common Buzzard,0.9041,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
537.0,540.0,Pluvialis squatarola,Black-bellied Plover,0.6122,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
558.0,561.0,Turdus viscivorus,Mistle Thrush,0.8794,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
594.0,597.0,Troglodytes pacificus,Pacific Wren,0.8480,/Users/vanessaprema/Downloads/PSH2/20240603_050000.WAV
