Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time
0.0,3.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7465,psm9,2024,06,02,05
6.0,9.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5854,psm9,2024,06,02,05
9.0,12.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9282,psm9,2024,06,02,05
15.0,18.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9712,psm9,2024,06,02,05
21.0,24.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8984,psm9,2024,06,02,05
30.0,33.0,Trochalopteron variegatum,Variegated Laughingthrush,0.861,psm9,2024,06,02,05
39.0,42.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8652,psm9,2024,06,02,05
45.0,48.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9141,psm9,2024,06,02,05
51.0,54.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9675,psm9,2024,06,02,05
54.0,57.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9384,psm9,2024,06,02,05
66.0,69.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9444,psm9,2024,06,02,05
102.0,105.0,Phylloscopus humei,Hume's Warbler,0.5778,psm9,2024,06,02,05
108.0,111.0,Phylloscopus humei,Hume's Warbler,0.8114,psm9,2024,06,02,05
129.0,132.0,Zosterops simplex,Swinhoe's White-eye,0.5092,psm9,2024,06,02,05
150.0,153.0,Zosterops simplex,Swinhoe's White-eye,0.6205,psm9,2024,06,02,05
195.0,198.0,Zosterops simplex,Swinhoe's White-eye,0.6044,psm9,2024,06,02,05
243.0,246.0,Phylloscopus humei,Hume's Warbler,0.5567,psm9,2024,06,02,05
249.0,252.0,Zosterops simplex,Swinhoe's White-eye,0.5601,psm9,2024,06,02,05
282.0,285.0,Phylloscopus humei,Hume's Warbler,0.6817,psm9,2024,06,02,05
324.0,327.0,Phylloscopus humei,Hume's Warbler,0.7479,psm9,2024,06,02,05
336.0,339.0,Phylloscopus humei,Hume's Warbler,0.6638,psm9,2024,06,02,05
345.0,348.0,Phylloscopus humei,Hume's Warbler,0.5683,psm9,2024,06,02,05
372.0,375.0,Phylloscopus humei,Hume's Warbler,0.5455,psm9,2024,06,02,05
384.0,387.0,Phylloscopus nitidus,Green Warbler,0.8086,psm9,2024,06,02,05
393.0,396.0,Phylloscopus humei,Hume's Warbler,0.9076,psm9,2024,06,02,05
414.0,417.0,Phylloscopus nitidus,Green Warbler,0.5854,psm9,2024,06,02,05
423.0,426.0,Phylloscopus humei,Hume's Warbler,0.5323,psm9,2024,06,02,05
444.0,447.0,Zosterops simplex,Swinhoe's White-eye,0.7858,psm9,2024,06,02,05
483.0,486.0,Phylloscopus humei,Hume's Warbler,0.6135,psm9,2024,06,02,05
492.0,495.0,Zosterops simplex,Swinhoe's White-eye,0.7026,psm9,2024,06,02,05
498.0,501.0,Zosterops simplex,Swinhoe's White-eye,0.6415,psm9,2024,06,02,05
585.0,588.0,Phylloscopus nitidus,Green Warbler,0.5788,psm9,2024,06,02,05
591.0,594.0,Phylloscopus trochiloides,Greenish Warbler,0.5504,psm9,2024,06,02,05
675.0,678.0,Phylloscopus nitidus,Green Warbler,0.9347,psm9,2024,06,02,05
684.0,687.0,Phylloscopus nitidus,Green Warbler,0.517,psm9,2024,06,02,05
690.0,693.0,Phylloscopus nitidus,Green Warbler,0.7834,psm9,2024,06,02,05
699.0,702.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.5842,psm9,2024,06,02,05
705.0,708.0,Phylloscopus nitidus,Green Warbler,0.6329,psm9,2024,06,02,05
726.0,729.0,Phylloscopus trochiloides,Greenish Warbler,0.7172,psm9,2024,06,02,05
729.0,732.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.5697,psm9,2024,06,02,05
744.0,747.0,Phylloscopus nitidus,Green Warbler,0.6229,psm9,2024,06,02,05
783.0,786.0,Phylloscopus nitidus,Green Warbler,0.8069,psm9,2024,06,02,05
786.0,789.0,Phylloscopus nitidus,Green Warbler,0.5402,psm9,2024,06,02,05
807.0,810.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6173,psm9,2024,06,02,05
819.0,822.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5131,psm9,2024,06,02,05
822.0,825.0,Phylloscopus nitidus,Green Warbler,0.8018,psm9,2024,06,02,05
831.0,834.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7742,psm9,2024,06,02,05
834.0,837.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5653,psm9,2024,06,02,05
837.0,840.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6864,psm9,2024,06,02,05
843.0,846.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6926,psm9,2024,06,02,05
855.0,858.0,Phylloscopus nitidus,Green Warbler,0.568,psm9,2024,06,02,05
858.0,861.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7297,psm9,2024,06,02,05
867.0,870.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5463,psm9,2024,06,02,05
867.0,870.0,Phylloscopus nitidus,Green Warbler,0.5065,psm9,2024,06,02,05
873.0,876.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5781,psm9,2024,06,02,05
879.0,882.0,Phylloscopus nitidus,Green Warbler,0.9453,psm9,2024,06,02,05
891.0,894.0,Vireo flavifrons,Yellow-throated Vireo,0.5923,psm9,2024,06,02,05
897.0,900.0,Phylloscopus trochiloides,Greenish Warbler,0.5397,psm9,2024,06,02,05
3.0,6.0,Phylloscopus trochiloides,Greenish Warbler,0.5897,psm9,2024,06,02,06
54.0,57.0,Phylloscopus humei,Hume's Warbler,0.5145,psm9,2024,06,02,06
81.0,84.0,Phylloscopus nitidus,Green Warbler,0.7731,psm9,2024,06,02,06
111.0,114.0,Phylloscopus nitidus,Green Warbler,0.8846,psm9,2024,06,02,06
111.0,114.0,Phylloscopus trochiloides,Greenish Warbler,0.7161,psm9,2024,06,02,06
120.0,123.0,Phylloscopus nitidus,Green Warbler,0.9782,psm9,2024,06,02,06
153.0,156.0,Phylloscopus nitidus,Green Warbler,0.9132,psm9,2024,06,02,06
159.0,162.0,Phylloscopus nitidus,Green Warbler,0.977,psm9,2024,06,02,06
174.0,177.0,Phylloscopus nitidus,Green Warbler,0.8892,psm9,2024,06,02,06
174.0,177.0,Phylloscopus trochiloides,Greenish Warbler,0.6812,psm9,2024,06,02,06
180.0,183.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.6199,psm9,2024,06,02,06
183.0,186.0,Phylloscopus nitidus,Green Warbler,0.7431,psm9,2024,06,02,06
192.0,195.0,Phylloscopus nitidus,Green Warbler,0.5846,psm9,2024,06,02,06
231.0,234.0,Phylloscopus trochiloides,Greenish Warbler,0.5659,psm9,2024,06,02,06
240.0,243.0,Phylloscopus nitidus,Green Warbler,0.5909,psm9,2024,06,02,06
282.0,285.0,Phylloscopus nitidus,Green Warbler,0.6518,psm9,2024,06,02,06
282.0,285.0,Phylloscopus trochiloides,Greenish Warbler,0.6159,psm9,2024,06,02,06
285.0,288.0,Phylloscopus trochiloides,Greenish Warbler,0.5743,psm9,2024,06,02,06
288.0,291.0,Phylloscopus nitidus,Green Warbler,0.8128,psm9,2024,06,02,06
306.0,309.0,Phylloscopus nitidus,Green Warbler,0.601,psm9,2024,06,02,06
321.0,324.0,Phylloscopus nitidus,Green Warbler,0.6869,psm9,2024,06,02,06
327.0,330.0,Phylloscopus nitidus,Green Warbler,0.8376,psm9,2024,06,02,06
330.0,333.0,Phylloscopus nitidus,Green Warbler,0.94,psm9,2024,06,02,06
336.0,339.0,Phylloscopus nitidus,Green Warbler,0.5091,psm9,2024,06,02,06
354.0,357.0,Phylloscopus nitidus,Green Warbler,0.6512,psm9,2024,06,02,06
360.0,363.0,Phylloscopus nitidus,Green Warbler,0.6317,psm9,2024,06,02,06
369.0,372.0,Phylloscopus nitidus,Green Warbler,0.8539,psm9,2024,06,02,06
402.0,405.0,Phylloscopus trochiloides,Greenish Warbler,0.5244,psm9,2024,06,02,06
411.0,414.0,Phylloscopus nitidus,Green Warbler,0.6238,psm9,2024,06,02,06
417.0,420.0,Phylloscopus nitidus,Green Warbler,0.6561,psm9,2024,06,02,06
441.0,444.0,Phylloscopus nitidus,Green Warbler,0.8622,psm9,2024,06,02,06
450.0,453.0,Phylloscopus trochiloides,Greenish Warbler,0.6176,psm9,2024,06,02,06
453.0,456.0,Phylloscopus nitidus,Green Warbler,0.5749,psm9,2024,06,02,06
462.0,465.0,Prunella strophiata,Rufous-breasted Accentor,0.7055,psm9,2024,06,02,06
468.0,471.0,Phylloscopus nitidus,Green Warbler,0.9668,psm9,2024,06,02,06
471.0,474.0,Prunella strophiata,Rufous-breasted Accentor,0.8618,psm9,2024,06,02,06
504.0,507.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.5638,psm9,2024,06,02,06
507.0,510.0,Prunella strophiata,Rufous-breasted Accentor,0.581,psm9,2024,06,02,06
510.0,513.0,Prunella strophiata,Rufous-breasted Accentor,0.6963,psm9,2024,06,02,06
513.0,516.0,Phylloscopus nitidus,Green Warbler,0.9039,psm9,2024,06,02,06
516.0,519.0,Prunella strophiata,Rufous-breasted Accentor,0.7208,psm9,2024,06,02,06
519.0,522.0,Prunella strophiata,Rufous-breasted Accentor,0.9648,psm9,2024,06,02,06
525.0,528.0,Prunella strophiata,Rufous-breasted Accentor,0.9841,psm9,2024,06,02,06
525.0,528.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6076,psm9,2024,06,02,06
540.0,543.0,Prunella strophiata,Rufous-breasted Accentor,0.9856,psm9,2024,06,02,06
558.0,561.0,Pinicola enucleator,Pine Grosbeak,0.709,psm9,2024,06,02,06
561.0,564.0,Phylloscopus nitidus,Green Warbler,0.5947,psm9,2024,06,02,06
570.0,573.0,Phylloscopus nitidus,Green Warbler,0.6041,psm9,2024,06,02,06
576.0,579.0,Prunella strophiata,Rufous-breasted Accentor,0.7398,psm9,2024,06,02,06
576.0,579.0,Phylloscopus nitidus,Green Warbler,0.5972,psm9,2024,06,02,06
582.0,585.0,Prunella strophiata,Rufous-breasted Accentor,0.6922,psm9,2024,06,02,06
588.0,591.0,Prunella strophiata,Rufous-breasted Accentor,0.5963,psm9,2024,06,02,06
591.0,594.0,Tarsiger rufilatus,Himalayan Bluetail,0.527,psm9,2024,06,02,06
600.0,603.0,Prunella strophiata,Rufous-breasted Accentor,0.5688,psm9,2024,06,02,06
609.0,612.0,Prunella strophiata,Rufous-breasted Accentor,0.9687,psm9,2024,06,02,06
612.0,615.0,Prunella strophiata,Rufous-breasted Accentor,0.907,psm9,2024,06,02,06
615.0,618.0,Phylloscopus nitidus,Green Warbler,0.8883,psm9,2024,06,02,06
615.0,618.0,Phylloscopus trochiloides,Greenish Warbler,0.6757,psm9,2024,06,02,06
627.0,630.0,Prunella strophiata,Rufous-breasted Accentor,0.9182,psm9,2024,06,02,06
630.0,633.0,Phylloscopus trochiloides,Greenish Warbler,0.7386,psm9,2024,06,02,06
630.0,633.0,Phylloscopus nitidus,Green Warbler,0.7265,psm9,2024,06,02,06
630.0,633.0,Prunella strophiata,Rufous-breasted Accentor,0.5314,psm9,2024,06,02,06
633.0,636.0,Phylloscopus nitidus,Green Warbler,0.7417,psm9,2024,06,02,06
642.0,645.0,Prunella strophiata,Rufous-breasted Accentor,0.9313,psm9,2024,06,02,06
645.0,648.0,Phylloscopus nitidus,Green Warbler,0.803,psm9,2024,06,02,06
669.0,672.0,Prunella strophiata,Rufous-breasted Accentor,0.9855,psm9,2024,06,02,06
675.0,678.0,Prunella strophiata,Rufous-breasted Accentor,0.9428,psm9,2024,06,02,06
675.0,678.0,Aethopyga nipalensis,Green-tailed Sunbird,0.6555,psm9,2024,06,02,06
678.0,681.0,Prunella strophiata,Rufous-breasted Accentor,0.9537,psm9,2024,06,02,06
681.0,684.0,Prunella strophiata,Rufous-breasted Accentor,0.9329,psm9,2024,06,02,06
687.0,690.0,Prunella strophiata,Rufous-breasted Accentor,0.6635,psm9,2024,06,02,06
690.0,693.0,Prunella strophiata,Rufous-breasted Accentor,0.9105,psm9,2024,06,02,06
699.0,702.0,Phylloscopus magnirostris,Large-billed Leaf Warbler,0.6948,psm9,2024,06,02,06
702.0,705.0,Prunella strophiata,Rufous-breasted Accentor,0.969,psm9,2024,06,02,06
705.0,708.0,Prunella strophiata,Rufous-breasted Accentor,0.8508,psm9,2024,06,02,06
708.0,711.0,Prunella strophiata,Rufous-breasted Accentor,0.9276,psm9,2024,06,02,06
720.0,723.0,Phylloscopus magnirostris,Large-billed Leaf Warbler,0.5338,psm9,2024,06,02,06
723.0,726.0,Phylloscopus nitidus,Green Warbler,0.5415,psm9,2024,06,02,06
729.0,732.0,Phylloscopus nitidus,Green Warbler,0.8328,psm9,2024,06,02,06
738.0,741.0,Prunella strophiata,Rufous-breasted Accentor,0.8747,psm9,2024,06,02,06
747.0,750.0,Prunella strophiata,Rufous-breasted Accentor,0.6124,psm9,2024,06,02,06
753.0,756.0,Prunella strophiata,Rufous-breasted Accentor,0.9523,psm9,2024,06,02,06
762.0,765.0,Prunella strophiata,Rufous-breasted Accentor,0.7979,psm9,2024,06,02,06
768.0,771.0,Prunella strophiata,Rufous-breasted Accentor,0.944,psm9,2024,06,02,06
771.0,774.0,Phylloscopus nitidus,Green Warbler,0.8009,psm9,2024,06,02,06
774.0,777.0,Prunella strophiata,Rufous-breasted Accentor,0.8641,psm9,2024,06,02,06
780.0,783.0,Prunella strophiata,Rufous-breasted Accentor,0.9077,psm9,2024,06,02,06
783.0,786.0,Phylloscopus nitidus,Green Warbler,0.952,psm9,2024,06,02,06
792.0,795.0,Prunella strophiata,Rufous-breasted Accentor,0.6997,psm9,2024,06,02,06
795.0,798.0,Prunella strophiata,Rufous-breasted Accentor,0.6327,psm9,2024,06,02,06
798.0,801.0,Phylloscopus nitidus,Green Warbler,0.7133,psm9,2024,06,02,06
801.0,804.0,Prunella strophiata,Rufous-breasted Accentor,0.8108,psm9,2024,06,02,06
810.0,813.0,Prunella strophiata,Rufous-breasted Accentor,0.6658,psm9,2024,06,02,06
816.0,819.0,Prunella strophiata,Rufous-breasted Accentor,0.6374,psm9,2024,06,02,06
825.0,828.0,Prunella strophiata,Rufous-breasted Accentor,0.8155,psm9,2024,06,02,06
828.0,831.0,Prunella strophiata,Rufous-breasted Accentor,0.6864,psm9,2024,06,02,06
831.0,834.0,Prunella strophiata,Rufous-breasted Accentor,0.9115,psm9,2024,06,02,06
834.0,837.0,Phylloscopus nitidus,Green Warbler,0.9096,psm9,2024,06,02,06
837.0,840.0,Prunella strophiata,Rufous-breasted Accentor,0.5038,psm9,2024,06,02,06
840.0,843.0,Prunella strophiata,Rufous-breasted Accentor,0.7152,psm9,2024,06,02,06
864.0,867.0,Prunella strophiata,Rufous-breasted Accentor,0.7535,psm9,2024,06,02,06
873.0,876.0,Ficedula parva,Red-breasted Flycatcher,0.6737,psm9,2024,06,02,06
873.0,876.0,Prunella strophiata,Rufous-breasted Accentor,0.6382,psm9,2024,06,02,06
879.0,882.0,Phylloscopus magnirostris,Large-billed Leaf Warbler,0.5361,psm9,2024,06,02,06
885.0,888.0,Prunella strophiata,Rufous-breasted Accentor,0.9126,psm9,2024,06,02,06
888.0,891.0,Prunella strophiata,Rufous-breasted Accentor,0.7029,psm9,2024,06,02,06
891.0,894.0,Prunella strophiata,Rufous-breasted Accentor,0.6502,psm9,2024,06,02,06
897.0,900.0,Prunella strophiata,Rufous-breasted Accentor,0.5225,psm9,2024,06,02,06
33.0,36.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5234,psm9,2024,06,02,07
63.0,66.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5603,psm9,2024,06,02,07
