Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time
18.0,21.0,Tarsiger rufilatus,Himalayan Bluetail,0.697,psh3,2024,06,03,05
24.0,27.0,Tarsiger rufilatus,Himalayan Bluetail,0.9986,psh3,2024,06,03,05
30.0,33.0,Tarsiger rufilatus,Himalayan Bluetail,0.7141,psh3,2024,06,03,05
33.0,36.0,Calliope pectardens,Firethroat,0.5732,psh3,2024,06,03,05
42.0,45.0,Tarsiger rufilatus,Himalayan Bluetail,0.7768,psh3,2024,06,03,05
42.0,45.0,Calliope pectardens,Firethroat,0.5224,psh3,2024,06,03,05
54.0,57.0,Tarsiger rufilatus,Himalayan Bluetail,0.5848,psh3,2024,06,03,05
57.0,60.0,Phylloscopus sindianus,Mountain Chiffchaff,0.6195,psh3,2024,06,03,05
72.0,75.0,Tarsiger rufilatus,Himalayan Bluetail,0.8606,psh3,2024,06,03,05
81.0,84.0,Tarsiger rufilatus,Himalayan Bluetail,0.7496,psh3,2024,06,03,05
87.0,90.0,Tarsiger rufilatus,Himalayan Bluetail,0.6258,psh3,2024,06,03,05
93.0,96.0,Tarsiger rufilatus,Himalayan Bluetail,0.9393,psh3,2024,06,03,05
96.0,99.0,Sialia sialis,Eastern Bluebird,0.5319,psh3,2024,06,03,05
99.0,102.0,Tarsiger rufilatus,Himalayan Bluetail,0.7221,psh3,2024,06,03,05
102.0,105.0,Tarsiger rufilatus,Himalayan Bluetail,0.5074,psh3,2024,06,03,05
114.0,117.0,Tarsiger rufilatus,Himalayan Bluetail,0.962,psh3,2024,06,03,05
114.0,117.0,Calliope pectardens,Firethroat,0.6194,psh3,2024,06,03,05
126.0,129.0,Tarsiger rufilatus,Himalayan Bluetail,0.6448,psh3,2024,06,03,05
147.0,150.0,Tarsiger rufilatus,Himalayan Bluetail,0.6265,psh3,2024,06,03,05
150.0,153.0,Sayornis saya,Say's Phoebe,0.7725,psh3,2024,06,03,05
156.0,159.0,Tarsiger rufilatus,Himalayan Bluetail,0.9264,psh3,2024,06,03,05
180.0,183.0,Tarsiger rufilatus,Himalayan Bluetail,0.6837,psh3,2024,06,03,05
201.0,204.0,Tarsiger rufilatus,Himalayan Bluetail,0.5723,psh3,2024,06,03,05
222.0,225.0,Tarsiger rufilatus,Himalayan Bluetail,0.7579,psh3,2024,06,03,05
231.0,234.0,Empidonax alnorum,Alder Flycatcher,0.7024,psh3,2024,06,03,05
246.0,249.0,Tarsiger rufilatus,Himalayan Bluetail,0.772,psh3,2024,06,03,05
321.0,324.0,Tarsiger rufilatus,Himalayan Bluetail,0.9199,psh3,2024,06,03,05
330.0,333.0,Turdus viscivorus,Mistle Thrush,0.6049,psh3,2024,06,03,05
363.0,366.0,Tarsiger rufilatus,Himalayan Bluetail,0.718,psh3,2024,06,03,05
387.0,390.0,Tarsiger rufilatus,Himalayan Bluetail,0.5179,psh3,2024,06,03,05
396.0,399.0,Sayornis saya,Say's Phoebe,0.5411,psh3,2024,06,03,05
399.0,402.0,Turdus viscivorus,Mistle Thrush,0.5194,psh3,2024,06,03,05
465.0,468.0,Turdus viscivorus,Mistle Thrush,0.5077,psh3,2024,06,03,05
471.0,474.0,Anthus hodgsoni,Olive-backed Pipit,0.6347,psh3,2024,06,03,05
510.0,513.0,Tringa totanus,Common Redshank,0.5608,psh3,2024,06,03,05
558.0,561.0,Turdus viscivorus,Mistle Thrush,0.8098,psh3,2024,06,03,05
573.0,576.0,Troglodytes pacificus,Pacific Wren,0.8033,psh3,2024,06,03,05
576.0,579.0,Turdus viscivorus,Mistle Thrush,0.5066,psh3,2024,06,03,05
582.0,585.0,Troglodytes pacificus,Pacific Wren,0.6674,psh3,2024,06,03,05
738.0,741.0,Serinus serinus,European Serin,0.5619,psh3,2024,06,03,05
786.0,789.0,Prunella modularis,Dunnock,0.7144,psh3,2024,06,03,05
798.0,801.0,Troglodytes pacificus,Pacific Wren,0.6181,psh3,2024,06,03,05
801.0,804.0,Troglodytes pacificus,Pacific Wren,0.7726,psh3,2024,06,03,05
810.0,813.0,Troglodytes pacificus,Pacific Wren,0.6714,psh3,2024,06,03,05
822.0,825.0,Prunella strophiata,Rufous-breasted Accentor,0.7123,psh3,2024,06,03,05
828.0,831.0,Prunella strophiata,Rufous-breasted Accentor,0.8821,psh3,2024,06,03,05
828.0,831.0,Serinus serinus,European Serin,0.5441,psh3,2024,06,03,05
837.0,840.0,Troglodytes pacificus,Pacific Wren,0.7843,psh3,2024,06,03,05
843.0,846.0,Troglodytes pacificus,Pacific Wren,0.6122,psh3,2024,06,03,05
849.0,852.0,Bombycilla garrulus,Bohemian Waxwing,0.5917,psh3,2024,06,03,05
852.0,855.0,Troglodytes pacificus,Pacific Wren,0.7371,psh3,2024,06,03,05
861.0,864.0,Prunella strophiata,Rufous-breasted Accentor,0.8103,psh3,2024,06,03,05
867.0,870.0,Troglodytes pacificus,Pacific Wren,0.7783,psh3,2024,06,03,05
873.0,876.0,Prunella strophiata,Rufous-breasted Accentor,0.9345,psh3,2024,06,03,05
879.0,882.0,Troglodytes pacificus,Pacific Wren,0.5557,psh3,2024,06,03,05
882.0,885.0,Troglodytes pacificus,Pacific Wren,0.5403,psh3,2024,06,03,05
897.0,900.0,Troglodytes pacificus,Pacific Wren,0.7491,psh3,2024,06,03,05
21.0,24.0,Tarsiger rufilatus,Himalayan Bluetail,0.6618,psh3,2024,06,03,06
