Start (s),End (s),Scientific name,Common name,Confidence,File
645.0,648.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1368,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
654.0,657.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.5357,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
657.0,660.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.6340,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
657.0,660.0,Phylloscopus goodsoni,Hartert's Leaf Warbler,0.1012,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
660.0,663.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3983,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
669.0,672.0,Phylloscopus claudiae,Claudia's Leaf Warbler,0.2787,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
669.0,672.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.2707,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
669.0,672.0,Phylloscopus nitidus,Green Warbler,0.1813,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
669.0,672.0,Phylloscopus goodsoni,Hartert's Leaf Warbler,0.1061,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
672.0,675.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3960,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
675.0,678.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2546,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
678.0,681.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1225,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
681.0,684.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5286,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
681.0,684.0,Larvivora brunnea,Indian Blue Robin,0.1583,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
684.0,687.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2196,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
684.0,687.0,Larvivora brunnea,Indian Blue Robin,0.1198,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
