Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Geothlypis tolmiei,MacGillivray's Warbler,0.1179,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
3.0,6.0,Fireworks,Fireworks,0.3516,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
6.0,9.0,Aeronautes montivagus,White-tipped Swift,0.1628,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
9.0,12.0,Motacilla alba,White Wagtail,0.1008,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
18.0,21.0,Zosterops japonicus,Warbling White-eye,0.1108,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
27.0,30.0,Setophaga magnolia,Magnolia Warbler,0.1218,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
45.0,48.0,Phylloscopus humei,Hume's Warbler,0.5312,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
45.0,48.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.1286,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
54.0,57.0,Phylloscopus humei,Hume's Warbler,0.6072,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
54.0,57.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.1744,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
60.0,63.0,Phylloscopus humei,Hume's Warbler,0.4351,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
60.0,63.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.1588,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
69.0,72.0,Phylloscopus humei,Hume's Warbler,0.3246,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
75.0,78.0,Phylloscopus trochiloides,Greenish Warbler,0.1418,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
78.0,81.0,Anthus rubescens,American Pipit,0.1258,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
81.0,84.0,Phylloscopus humei,Hume's Warbler,0.1416,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
84.0,87.0,Phylloscopus humei,Hume's Warbler,0.4745,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
84.0,87.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.1751,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
87.0,90.0,Setophaga coronata,Yellow-rumped Warbler,0.1159,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
123.0,126.0,Pinicola enucleator,Pine Grosbeak,0.1201,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
123.0,126.0,Haemorhous cassinii,Cassin's Finch,0.1112,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
129.0,132.0,Phylloscopus claudiae,Claudia's Leaf Warbler,0.1056,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
150.0,153.0,Setophaga chrysoparia,Golden-cheeked Warbler,0.1297,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
183.0,186.0,Setophaga chrysoparia,Golden-cheeked Warbler,0.1012,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
207.0,210.0,Gun,Gun,0.4384,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
207.0,210.0,Fireworks,Fireworks,0.2531,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
219.0,222.0,Setophaga dominica,Yellow-throated Warbler,0.1476,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
261.0,264.0,Fireworks,Fireworks,0.1106,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/LOW/PSL8/20240519_090715.WAV
