Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Sialia currucoides,Mountain Bluebird,0.3400,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
225.0,228.0,Tetrao urogallus,Western Capercaillie,0.3326,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
249.0,252.0,Picoides arcticus,Black-backed Woodpecker,0.1408,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
255.0,258.0,Tetrao urogallus,Western Capercaillie,0.4257,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
255.0,258.0,Coturnix coturnix,Common Quail,0.1560,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
261.0,264.0,Coturnix coturnix,Common Quail,0.1967,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
282.0,285.0,Sialia currucoides,Mountain Bluebird,0.1115,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
765.0,768.0,Picoides arcticus,Black-backed Woodpecker,0.1379,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
819.0,822.0,Anas platyrhynchos,Mallard,0.1040,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
867.0,870.0,Fulica atra,Eurasian Coot,0.1075,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
891.0,894.0,Sitta canadensis,Red-breasted Nuthatch,0.1070,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_040000.WAV
0,3.0,Leiothlypis ruficapilla,Nashville Warbler,0.1228,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
3.0,6.0,Trochalopteron variegatum,Variegated Laughingthrush,0.3994,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
3.0,6.0,Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush,0.1197,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
3.0,6.0,Trochalopteron affine,Black-faced Laughingthrush,0.1119,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
6.0,9.0,Troglodytes pacificus,Pacific Wren,0.2923,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
9.0,12.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9090,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
9.0,12.0,Troglodytes troglodytes,Eurasian Wren,0.1903,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
9.0,12.0,Troglodytes pacificus,Pacific Wren,0.1392,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
9.0,12.0,Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush,0.1087,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
12.0,15.0,Phylloscopus bonelli,Western Bonelli's Warbler,0.1028,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
15.0,18.0,Troglodytes pacificus,Pacific Wren,0.4806,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
24.0,27.0,Setophaga palmarum,Palm Warbler,0.1036,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
27.0,30.0,Troglodytes pacificus,Pacific Wren,0.1623,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
30.0,33.0,Anthus hodgsoni,Olive-backed Pipit,0.1420,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
30.0,33.0,Troglodytes troglodytes,Eurasian Wren,0.1321,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
48.0,51.0,Troglodytes pacificus,Pacific Wren,0.3567,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
54.0,57.0,Troglodytes pacificus,Pacific Wren,0.1052,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
63.0,66.0,Petronia petronia,Rock Sparrow,0.7847,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
69.0,72.0,Troglodytes pacificus,Pacific Wren,0.7317,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
69.0,72.0,Troglodytes troglodytes,Eurasian Wren,0.4596,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
69.0,72.0,Anthus hodgsoni,Olive-backed Pipit,0.1994,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
69.0,72.0,Trochalopteron variegatum,Variegated Laughingthrush,0.1793,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
78.0,81.0,Troglodytes pacificus,Pacific Wren,0.1135,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
81.0,84.0,Petronia petronia,Rock Sparrow,0.3223,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM7\20240526_050000.WAV
