Start (s),End (s),Scientific name,Common name,Confidence,File
519.0,522.0,Phylloscopus nitidus,Green Warbler,0.2848,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
522.0,525.0,Phylloscopus trochiloides,Greenish Warbler,0.6517,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
522.0,525.0,Phylloscopus nitidus,Green Warbler,0.2744,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
525.0,528.0,Phylloscopus trochiloides,Greenish Warbler,0.1872,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
528.0,531.0,Phylloscopus nitidus,Green Warbler,0.6928,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
528.0,531.0,Phylloscopus trochiloides,Greenish Warbler,0.3600,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
531.0,534.0,Phylloscopus trochiloides,Greenish Warbler,0.5134,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
531.0,534.0,Phylloscopus nitidus,Green Warbler,0.5126,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
534.0,537.0,Phylloscopus trochiloides,Greenish Warbler,0.9000,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
537.0,540.0,Phylloscopus trochiloides,Greenish Warbler,0.3395,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
540.0,543.0,Phylloscopus trochiloides,Greenish Warbler,0.2604,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
540.0,543.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1375,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
543.0,546.0,Phylloscopus claudiae,Claudia's Leaf Warbler,0.3715,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
