Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Gun,Gun,0.2072,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
6.0,9.0,Fireworks,Fireworks,0.1648,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
12.0,15.0,Human non-vocal,Human non-vocal,0.1688,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
12.0,15.0,Fireworks,Fireworks,0.1011,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
18.0,21.0,Fireworks,Fireworks,0.1292,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
21.0,24.0,Gun,Gun,0.1301,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
24.0,27.0,Gun,Gun,0.1162,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
51.0,54.0,Periparus ater,Coal Tit,0.1234,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
60.0,63.0,Ketupa blakistoni,Blakiston's Fish-Owl,0.1069,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
66.0,69.0,Periparus ater,Coal Tit,0.5536,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL3\20240510_090442.WAV
