Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Human non-vocal,Human non-vocal,0.3563,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/19700101_000038.WAV
30.0,33.0,Gallinula chloropus,Eurasian Moorhen,0.1538,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
87.0,90.0,Gallinula chloropus,Eurasian Moorhen,0.1103,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
114.0,117.0,Gallinula chloropus,Eurasian Moorhen,0.8068,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
114.0,117.0,Tetrao urogallus,Western Capercaillie,0.3536,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
150.0,153.0,Gallinula chloropus,Eurasian Moorhen,0.5414,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
222.0,225.0,Gallinula chloropus,Eurasian Moorhen,0.1217,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
267.0,270.0,Lagopus muta,Rock Ptarmigan,0.1097,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
393.0,396.0,Tetrao urogallus,Western Capercaillie,0.1544,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
513.0,516.0,Charadrius dubius,Little Ringed Plover,0.2443,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
528.0,531.0,Gallinula chloropus,Eurasian Moorhen,0.4736,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
546.0,549.0,Tetrao urogallus,Western Capercaillie,0.1305,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
609.0,612.0,Tetrao urogallus,Western Capercaillie,0.4656,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
609.0,612.0,Gallinula chloropus,Eurasian Moorhen,0.1203,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
630.0,633.0,Charadrius dubius,Little Ringed Plover,0.1372,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_040000.WAV
0,3.0,Acanthis flammea,Common Redpoll,0.5173,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_050000.WAV
0,3.0,Acanthis cabaret,Lesser Redpoll,0.1023,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_050000.WAV
24.0,27.0,Acanthis flammea,Common Redpoll,0.1563,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_050000.WAV
30.0,33.0,Haemorhous cassinii,Cassin's Finch,0.1509,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH2/20240603_050000.WAV
