Start (s),End (s),Scientific name,Common name,Confidence,File
30.0,33.0,Trochalopteron variegatum,Variegated Laughingthrush,0.1438,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
33.0,36.0,Phylloscopus trochiloides,Greenish Warbler,0.3115,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.2375,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.6543,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
39.0,42.0,Phylloscopus trochiloides,Greenish Warbler,0.3702,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
39.0,42.0,Spinus pinus,Pine Siskin,0.1008,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
45.0,48.0,Tachycineta thalassina,Violet-green Swallow,0.1012,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
51.0,54.0,Phylloscopus trochiloides,Greenish Warbler,0.2396,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
57.0,60.0,Vermivora chrysoptera,Golden-winged Warbler,0.2687,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
60.0,63.0,Phylloscopus pulcher,Buff-barred Warbler,0.6597,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
63.0,66.0,Phylloscopus kansuensis,Gansu Leaf Warbler,0.1418,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
90.0,93.0,Spizelloides arborea,American Tree Sparrow,0.1285,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
90.0,93.0,Cardellina rubrifrons,Red-faced Warbler,0.1070,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
105.0,108.0,Phylloscopus pulcher,Buff-barred Warbler,0.5974,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
105.0,108.0,Spizella breweri,Brewer's Sparrow,0.1177,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH4/20240603_050000.WAV
