Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Phylloscopus trochiloides,Greenish Warbler,0.1715,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
3.0,6.0,Phylloscopus goodsoni,Hartert's Leaf Warbler,0.2304,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
3.0,6.0,Phylloscopus trochiloides,Greenish Warbler,0.1863,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
3.0,6.0,Phylloscopus claudiae,Claudia's Leaf Warbler,0.1102,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
6.0,9.0,Troglodytes pacificus,Pacific Wren,0.1471,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
9.0,12.0,Phylloscopus trochiloides,Greenish Warbler,0.2071,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
9.0,12.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1001,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
12.0,15.0,Phylloscopus trochiloides,Greenish Warbler,0.1001,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
15.0,18.0,Troglodytes troglodytes,Eurasian Wren,0.1762,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
18.0,21.0,Phylloscopus trochiloides,Greenish Warbler,0.8063,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
18.0,21.0,Phylloscopus nitidus,Green Warbler,0.6015,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
18.0,21.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.4363,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
24.0,27.0,Troglodytes pacificus,Pacific Wren,0.5773,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
27.0,30.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.3242,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
27.0,30.0,Phylloscopus claudiae,Claudia's Leaf Warbler,0.3015,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
27.0,30.0,Phylloscopus trochiloides,Greenish Warbler,0.1987,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
30.0,33.0,Phylloscopus pulcher,Buff-barred Warbler,0.1010,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
33.0,36.0,Troglodytes pacificus,Pacific Wren,0.2397,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
33.0,36.0,Troglodytes troglodytes,Eurasian Wren,0.1496,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
36.0,39.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.4901,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
36.0,39.0,Phylloscopus trochiloides,Greenish Warbler,0.4894,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
36.0,39.0,Phylloscopus goodsoni,Hartert's Leaf Warbler,0.1506,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
39.0,42.0,Phylloscopus trochiloides,Greenish Warbler,0.1813,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
42.0,45.0,Troglodytes troglodytes,Eurasian Wren,0.2383,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
42.0,45.0,Troglodytes pacificus,Pacific Wren,0.1440,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
45.0,48.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1854,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
45.0,48.0,Phylloscopus trochiloides,Greenish Warbler,0.1463,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
48.0,51.0,Phylloscopus trochiloides,Greenish Warbler,0.3082,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
51.0,54.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.2088,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
51.0,54.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.1117,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
54.0,57.0,Phylloscopus trochiloides,Greenish Warbler,0.2639,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
57.0,60.0,Phylloscopus trochiloides,Greenish Warbler,0.3047,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
57.0,60.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.1535,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
57.0,60.0,Phylloscopus nitidus,Green Warbler,0.1388,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
60.0,63.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.2404,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
60.0,63.0,Phylloscopus trochiloides,Greenish Warbler,0.1250,/Users/vanessaprema/Documents/Research/bird audio research/full_length_audio/field/HIGH/PSH6/20240704_050000.WAV
