Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Luscinia phaenicuroides,White-bellied Redstart,0.6004,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.6670,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.1880,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
12.0,15.0,Luscinia phaenicuroides,White-bellied Redstart,0.6570,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
15.0,18.0,Carpodacus erythrinus,Common Rosefinch,0.2592,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.3847,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
24.0,27.0,Luscinia phaenicuroides,White-bellied Redstart,0.1292,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.1089,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
33.0,36.0,Luscinia phaenicuroides,White-bellied Redstart,0.3729,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
39.0,42.0,Luscinia phaenicuroides,White-bellied Redstart,0.4024,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
39.0,42.0,Phylloscopus sindianus,Mountain Chiffchaff,0.1885,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
51.0,54.0,Carpodacus erythrinus,Common Rosefinch,0.1332,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
54.0,57.0,Luscinia phaenicuroides,White-bellied Redstart,0.1811,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
60.0,63.0,Luscinia phaenicuroides,White-bellied Redstart,0.5369,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
66.0,69.0,Carpodacus erythrinus,Common Rosefinch,0.3650,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL9\20240526_070001.WAV
