Start (s),End (s),Scientific name,Common name,Confidence,File
765.0,768.0,Tringa ochropus,Green Sandpiper,0.1698,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_040000.WAV
816.0,819.0,Calliope pectoralis,Himalayan Rubythroat,0.2937,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_040000.WAV
825.0,828.0,Haemorhous cassinii,Cassin's Finch,0.1957,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_040000.WAV
6.0,9.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.2598,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_050000.WAV
12.0,15.0,Brachypteryx hyperythra,Rusty-bellied Shortwing,0.1382,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_050000.WAV
24.0,27.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.2213,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_050000.WAV
27.0,30.0,Phylloscopus nitidus,Green Warbler,0.6580,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_050000.WAV
27.0,30.0,Phylloscopus trochiloides,Greenish Warbler,0.1465,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_050000.WAV
36.0,39.0,Phylloscopus nitidus,Green Warbler,0.1434,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_050000.WAV
36.0,39.0,Phylloscopus trochiloides,Greenish Warbler,0.1222,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM3\20240526_050000.WAV
