Start (s),End (s),Scientific name,Common name,Confidence,File
51.0,54.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9675,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
54.0,57.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9384,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
54.0,57.0,Trochalopteron subunicolor,Scaly Laughingthrush,0.1292,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
63.0,66.0,Phylloscopus humei,Hume's Warbler,0.3896,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
66.0,69.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9444,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
66.0,69.0,Trochalopteron virgatum,Striped Laughingthrush,0.1126,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
81.0,84.0,Zosterops japonicus,Warbling White-eye,0.1541,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
84.0,87.0,Zosterops simplex,Swinhoe's White-eye,0.1150,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
90.0,93.0,Phylloscopus humei,Hume's Warbler,0.1068,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
96.0,99.0,Phylloscopus humei,Hume's Warbler,0.4021,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
99.0,102.0,Zosterops simplex,Swinhoe's White-eye,0.3558,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
102.0,105.0,Phylloscopus humei,Hume's Warbler,0.5778,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
105.0,108.0,Zosterops simplex,Swinhoe's White-eye,0.1562,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
108.0,111.0,Phylloscopus humei,Hume's Warbler,0.8114,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
114.0,117.0,Phylloscopus humei,Hume's Warbler,0.1367,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
114.0,117.0,Zosterops simplex,Swinhoe's White-eye,0.1337,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
117.0,120.0,Phylloscopus humei,Hume's Warbler,0.1113,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
120.0,123.0,Trochalopteron variegatum,Variegated Laughingthrush,0.1495,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
123.0,126.0,Phylloscopus humei,Hume's Warbler,0.2432,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
123.0,126.0,Tarsiger rufilatus,Himalayan Bluetail,0.1228,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
126.0,129.0,Phylloscopus humei,Hume's Warbler,0.1019,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
129.0,132.0,Zosterops simplex,Swinhoe's White-eye,0.5092,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
132.0,135.0,Tarsiger rufilatus,Himalayan Bluetail,0.1688,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
